71, TP = 398, TN = 15906, FP =  16, FN =  64, spe = 0.861472, sen =  0.001005
72, TP = 399, TN = 15906, FP =  16, FN =  63, spe = 0.863636, sen =  0.001005
73, TP = 399, TN = 15905, FP =  17, FN =  63, spe = 0.863636, sen =  0.001068
74, TP = 401, TN = 15904, FP =  18, FN =  61, spe = 0.867965, sen =  0.001131
75, TP = 402, TN = 15904, FP =  18, FN =  60, spe = 0.870130, sen =  0.001131
76, TP = 403, TN = 15904, FP =  18, FN =  59, spe = 0.872294, sen =  0.001131
77, TP = 406, TN = 15903, FP =  19, FN =  56, spe = 0.878788, sen =  0.001193
78, TP = 409, TN = 15902, FP =  20, FN =  53, spe = 0.885281, sen =  0.001256
79, TP = 410, TN = 15900, FP =  22, FN =  52, spe = 0.887446, sen =  0.001382
80, TP = 415, TN = 15899, FP =  23, FN =  47, spe = 0.898268, sen =  0.001445
81, TP = 418, TN = 15899, FP =  23, FN =  44, spe = 0.904762, sen =  0.001445
82, TP = 418, TN = 15899, FP =  23, FN =  44, spe = 0.904762, sen =  0.001445
83, TP = 418, TN = 15899, FP =  23, FN =  44, spe = 0.904762, sen =  0.001445
84, TP = 420, TN = 15899, FP =  23, FN =  42, spe = 0.909091, sen =  0.001445
85, TP = 421, TN = 15899, FP =  23, FN =  41, spe = 0.911255, sen =  0.001445
86, TP = 425, TN = 15899, FP =  23, FN =  37, spe = 0.919913, sen =  0.001445
87, TP = 429, TN = 15898, FP =  24, FN =  33, spe = 0.928571, sen =  0.001507
88, TP = 430, TN = 15896, FP =  26, FN =  32, spe = 0.930736, sen =  0.001633
89, TP = 431, TN = 15894, FP =  28, FN =  31, spe = 0.932900, sen =  0.001759
90, TP = 433, TN = 15894, FP =  28, FN =  29, spe = 0.937229, sen =  0.001759
91, TP = 433, TN = 15891, FP =  31, FN =  29, spe = 0.937229, sen =  0.001947
92, TP = 435, TN = 15888, FP =  34, FN =  27, spe = 0.941558, sen =  0.002135
93, TP = 435, TN = 15887, FP =  35, FN =  27, spe = 0.941558, sen =  0.002198
94, TP = 436, TN = 15887, FP =  35, FN =  26, spe = 0.943723, sen =  0.002198
95, TP = 438, TN = 15884, FP =  38, FN =  24, spe = 0.948052, sen =  0.002387
96, TP = 440, TN = 15883, FP =  39, FN =  22, spe = 0.952381, sen =  0.002449
97, TP = 440, TN = 15883, FP =  39, FN =  22, spe = 0.952381, sen =  0.002449
98, TP = 441, TN = 15881, FP =  41, FN =  21, spe = 0.954545, sen =  0.002575
99, TP = 441, TN = 15880, FP =  42, FN =  21, spe = 0.954545, sen =  0.002638
100, TP = 443, TN = 15877, FP =  45, FN =  19, spe = 0.958874, sen =  0.002826
101, TP = 443, TN = 15866, FP =  56, FN =  19, spe = 0.958874, sen =  0.003517
102, TP = 443, TN = 15852, FP =  70, FN =  19, spe = 0.958874, sen =  0.004396
103, TP = 445, TN = 15836, FP =  86, FN =  17, spe = 0.963203, sen =  0.005401
104, TP = 446, TN = 15819, FP =  103, FN =  16, spe = 0.965368, sen =  0.006469
105, TP = 446, TN = 15799, FP =  123, FN =  16, spe = 0.965368, sen =  0.007725
106, TP = 446, TN = 15758, FP =  164, FN =  16, spe = 0.965368, sen =  0.010300
107, TP = 447, TN = 15719, FP =  203, FN =  15, spe = 0.967532, sen =  0.012750
108, TP = 447, TN = 15680, FP =  242, FN =  15, spe = 0.967532, sen =  0.015199
109, TP = 450, TN = 15613, FP =  309, FN =  12, spe = 0.974026, sen =  0.019407
110, TP = 451, TN = 15558, FP =  364, FN =  11, spe = 0.976190, sen =  0.022861
111, TP = 451, TN = 15491, FP =  431, FN =  11, spe = 0.976190, sen =  0.027069
112, TP = 451, TN = 15425, FP =  497, FN =  11, spe = 0.976190, sen =  0.031215
113, TP = 452, TN = 15366, FP =  556, FN =  10, spe = 0.978355, sen =  0.034920
114, TP = 452, TN = 15327, FP =  595, FN =  10, spe = 0.978355, sen =  0.037370
115, TP = 453, TN = 15239, FP =  683, FN =  9, spe = 0.980519, sen =  0.042897
116, TP = 453, TN = 15161, FP =  761, FN =  9, spe = 0.980519, sen =  0.047796
117, TP = 454, TN = 15028, FP =  894, FN =  8, spe = 0.982684, sen =  0.056149
118, TP = 455, TN = 14893, FP =  1029, FN =  7, spe = 0.984848, sen =  0.064628
119, TP = 455, TN = 14743, FP =  1179, FN =  7, spe = 0.984848, sen =  0.074048
120, TP = 455, TN = 14570, FP =  1352, FN =  7, spe = 0.984848, sen =  0.084914
121, TP = 455, TN = 14376, FP =  1546, FN =  7, spe = 0.984848, sen =  0.097098
122, TP = 455, TN = 14188, FP =  1734, FN =  7, spe = 0.984848, sen =  0.108906
123, TP = 455, TN = 14020, FP =  1902, FN =  7, spe = 0.984848, sen =  0.119457
124, TP = 455, TN = 13837, FP =  2085, FN =  7, spe = 0.984848, sen =  0.130951
125, TP = 456, TN = 13644, FP =  2278, FN =  6, spe = 0.987013, sen =  0.143072
126, TP = 456, TN = 13478, FP =  2444, FN =  6, spe = 0.987013, sen =  0.153498
127, TP = 457, TN = 13276, FP =  2646, FN =  5, spe = 0.989177, sen =  0.166185
128, TP = 458, TN = 13081, FP =  2841, FN =  4, spe = 0.991342, sen =  0.178432
129, TP = 458, TN = 12856, FP =  3066, FN =  4, spe = 0.991342, sen =  0.192564
130, TP = 458, TN = 12658, FP =  3264, FN =  4, spe = 0.991342, sen =  0.204999
131, TP = 458, TN = 12436, FP =  3486, FN =  4, spe = 0.991342, sen =  0.218942
132, TP = 459, TN = 12241, FP =  3681, FN =  3, spe = 0.993506, sen =  0.231190
133, TP = 459, TN = 12075, FP =  3847, FN =  3, spe = 0.993506, sen =  0.241615
134, TP = 459, TN = 11919, FP =  4003, FN =  3, spe = 0.993506, sen =  0.251413
135, TP = 459, TN = 11796, FP =  4126, FN =  3, spe = 0.993506, sen =  0.259138
136, TP = 459, TN = 11646, FP =  4276, FN =  3, spe = 0.993506, sen =  0.268559
137, TP = 459, TN = 11495, FP =  4427, FN =  3, spe = 0.993506, sen =  0.278043
138, TP = 459, TN = 11341, FP =  4581, FN =  3, spe = 0.993506, sen =  0.287715
139, TP = 460, TN = 11214, FP =  4708, FN =  2, spe = 0.995671, sen =  0.295691
140, TP = 460, TN = 11113, FP =  4809, FN =  2, spe = 0.995671, sen =  0.302035
141, TP = 460, TN = 10996, FP =  4926, FN =  2, spe = 0.995671, sen =  0.309383
142, TP = 460, TN = 10842, FP =  5080, FN =  2, spe = 0.995671, sen =  0.319055
143, TP = 460, TN = 10674, FP =  5248, FN =  2, spe = 0.995671, sen =  0.329607
144, TP = 461, TN = 10519, FP =  5403, FN =  1, spe = 0.997835, sen =  0.339342
145, TP = 461, TN = 10353, FP =  5569, FN =  1, spe = 0.997835, sen =  0.349768
146, TP = 461, TN = 10153, FP =  5769, FN =  1, spe = 0.997835, sen =  0.362329
147, TP = 461, TN = 9940, FP =  5982, FN =  1, spe = 0.997835, sen =  0.375707
148, TP = 461, TN = 9696, FP =  6226, FN =  1, spe = 0.997835, sen =  0.391031
149, TP = 461, TN = 9394, FP =  6528, FN =  1, spe = 0.997835, sen =  0.409999
150, TP = 461, TN = 9107, FP =  6815, FN =  1, spe = 0.997835, sen =  0.428024
151, TP = 461, TN = 8861, FP =  7061, FN =  1, spe = 0.997835, sen =  0.443474
152, TP = 461, TN = 8635, FP =  7287, FN =  1, spe = 0.997835, sen =  0.457669
153, TP = 461, TN = 8365, FP =  7557, FN =  1, spe = 0.997835, sen =  0.474626
154, TP = 461, TN = 8143, FP =  7779, FN =  1, spe = 0.997835, sen =  0.488569
155, TP = 461, TN = 7908, FP =  8014, FN =  1, spe = 0.997835, sen =  0.503329
156, TP = 461, TN = 7639, FP =  8283, FN =  1, spe = 0.997835, sen =  0.520224
157, TP = 461, TN = 7351, FP =  8571, FN =  1, spe = 0.997835, sen =  0.538312
158, TP = 461, TN = 7058, FP =  8864, FN =  1, spe = 0.997835, sen =  0.556714
159, TP = 461, TN = 6745, FP =  9177, FN =  1, spe = 0.997835, sen =  0.576372
160, TP = 461, TN = 6488, FP =  9434, FN =  1, spe = 0.997835, sen =  0.592514
161, TP = 461, TN = 6259, FP =  9663, FN =  1, spe = 0.997835, sen =  0.606896
162, TP = 461, TN = 6051, FP =  9871, FN =  1, spe = 0.997835, sen =  0.619960
163, TP = 461, TN = 5889, FP =  10033, FN =  1, spe = 0.997835, sen =  0.630134
164, TP = 461, TN = 5714, FP =  10208, FN =  1, spe = 0.997835, sen =  0.641125
165, TP = 461, TN = 5549, FP =  10373, FN =  1, spe = 0.997835, sen =  0.651489
166, TP = 461, TN = 5386, FP =  10536, FN =  1, spe = 0.997835, sen =  0.661726
167, TP = 461, TN = 5137, FP =  10785, FN =  1, spe = 0.997835, sen =  0.677365
168, TP = 461, TN = 4842, FP =  11080, FN =  1, spe = 0.997835, sen =  0.695892
169, TP = 461, TN = 4416, FP =  11506, FN =  1, spe = 0.997835, sen =  0.722648
170, TP = 461, TN = 3789, FP =  12133, FN =  1, spe = 0.997835, sen =  0.762027
171, TP = 461, TN = 3148, FP =  12774, FN =  1, spe = 0.997835, sen =  0.802286
172, TP = 461, TN = 2646, FP =  13276, FN =  1, spe = 0.997835, sen =  0.833815
173, TP = 462, TN = 2194, FP =  13728, FN =  0, spe = 1.000000, sen =  0.862203
174, TP = 462, TN = 1747, FP =  14175, FN =  0, spe = 1.000000, sen =  0.890278
175, TP = 462, TN = 1345, FP =  14577, FN =  0, spe = 1.000000, sen =  0.915526
176, TP = 462, TN = 1009, FP =  14913, FN =  0, spe = 1.000000, sen =  0.936629
177, TP = 462, TN = 816, FP =  15106, FN =  0, spe = 1.000000, sen =  0.948750
178, TP = 462, TN = 695, FP =  15227, FN =  0, spe = 1.000000, sen =  0.956350
179, TP = 462, TN = 606, FP =  15316, FN =  0, spe = 1.000000, sen =  0.961939
180, TP = 462, TN = 526, FP =  15396, FN =  0, spe = 1.000000, sen =  0.966964
181, TP = 462, TN = 456, FP =  15466, FN =  0, spe = 1.000000, sen =  0.971360
182, TP = 462, TN = 405, FP =  15517, FN =  0, spe = 1.000000, sen =  0.974563
183, TP = 462, TN = 343, FP =  15579, FN =  0, spe = 1.000000, sen =  0.978457
184, TP = 462, TN = 296, FP =  15626, FN =  0, spe = 1.000000, sen =  0.981409
185, TP = 462, TN = 245, FP =  15677, FN =  0, spe = 1.000000, sen =  0.984612
186, TP = 462, TN = 172, FP =  15750, FN =  0, spe = 1.000000, sen =  0.989197
187, TP = 462, TN = 113, FP =  15809, FN =  0, spe = 1.000000, sen =  0.992903
188, TP = 462, TN = 86, FP =  15836, FN =  0, spe = 1.000000, sen =  0.994599
189, TP = 462, TN = 75, FP =  15847, FN =  0, spe = 1.000000, sen =  0.995290
190, TP = 462, TN = 65, FP =  15857, FN =  0, spe = 1.000000, sen =  0.995918
191, TP = 462, TN = 58, FP =  15864, FN =  0, spe = 1.000000, sen =  0.996357
192, TP = 462, TN = 50, FP =  15872, FN =  0, spe = 1.000000, sen =  0.996860
193, TP = 462, TN = 42, FP =  15880, FN =  0, spe = 1.000000, sen =  0.997362
194, TP = 462, TN = 41, FP =  15881, FN =  0, spe = 1.000000, sen =  0.997425
195, TP = 462, TN = 40, FP =  15882, FN =  0, spe = 1.000000, sen =  0.997488
196, TP = 462, TN = 36, FP =  15886, FN =  0, spe = 1.000000, sen =  0.997739
197, TP = 462, TN = 28, FP =  15894, FN =  0, spe = 1.000000, sen =  0.998241
198, TP = 462, TN = 25, FP =  15897, FN =  0, spe = 1.000000, sen =  0.998430
199, TP = 462, TN = 23, FP =  15899, FN =  0, spe = 1.000000, sen =  0.998555
200, TP = 462, TN = 19, FP =  15903, FN =  0, spe = 1.000000, sen =  0.998807
201, TP = 462, TN = 17, FP =  15905, FN =  0, spe = 1.000000, sen =  0.998932
202, TP = 462, TN = 15, FP =  15907, FN =  0, spe = 1.000000, sen =  0.999058
203, TP = 462, TN = 13, FP =  15909, FN =  0, spe = 1.000000, sen =  0.999184
204, TP = 462, TN = 11, FP =  15911, FN =  0, spe = 1.000000, sen =  0.999309
205, TP = 462, TN = 9, FP =  15913, FN =  0, spe = 1.000000, sen =  0.999435
206, TP = 462, TN = 6, FP =  15916, FN =  0, spe = 1.000000, sen =  0.999623
207, TP = 462, TN = 5, FP =  15917, FN =  0, spe = 1.000000, sen =  0.999686
208, TP = 462, TN = 5, FP =  15917, FN =  0, spe = 1.000000, sen =  0.999686
209, TP = 462, TN = 4, FP =  15918, FN =  0, spe = 1.000000, sen =  0.999749
210, TP = 462, TN = 3, FP =  15919, FN =  0, spe = 1.000000, sen =  0.999812
211, TP = 462, TN = 1, FP =  15921, FN =  0, spe = 1.000000, sen =  0.999937
212, TP = 462, TN = 1, FP =  15921, FN =  0, spe = 1.000000, sen =  0.999937
213, TP = 462, TN = 1, FP =  15921, FN =  0, spe = 1.000000, sen =  0.999937
214, TP = 462, TN = 0, FP =  15922, FN =  0, spe = 1.000000, sen =  1.000000
215, TP = 462, TN = 0, FP =  15922, FN =  0, spe = 1.000000, sen =  1.000000
216, TP = 462, TN = 0, FP =  15922, FN =  0, spe = 1.000000, sen =  1.000000
217, TP = 462, TN = 0, FP =  15922, FN =  0, spe = 1.000000, sen =  1.000000
218, TP = 462, TN = 0, FP =  15922, FN =  0, spe = 1.000000, sen =  1.000000
219, TP = 462, TN = 0, FP =  15922, FN =  0, spe = 1.000000, sen =  1.000000
220, TP = 462, TN = 0, FP =  15922, FN =  0, spe = 1.000000, sen =  1.000000
221, TP = 462, TN = 0, FP =  15922, FN =  0, spe = 1.000000, sen =  1.000000
222, TP = 462, TN = 0, FP =  15922, FN =  0, spe = 1.000000, sen =  1.000000
