0 0 1 0
1 0 0 0
2 0 4 0
3 0 2 0
4 0 2 2
5 0 5 5
6 0 4 9
7 0 19 1
8 0 28 10
9 0 60 16
10 0 184 18
11 0 708 69
12 0 1519 215
13 0 2625 612
14 0 3998 1175
15 0 4685 2445
16 0 4756 4254
17 1 5692 4887
18 2 5573 5783
19 8 4884 6025
20 30 6239 7522
21 47 6339 8261
22 160 6428 8269
23 241 7160 9501
24 566 8089 11937
25 492 9399 14985
26 648 10267 15034
27 633 10569 14339
28 554 11345 11144
29 716 12646 8973
30 468 12823 6854
31 563 15585 5881
32 849 13603 5026
33 1008 14087 4282
34 1379 13163 3925
35 1614 11739 3782
36 1818 10189 3634
37 1835 10209 3745
38 2122 9406 3883
39 2934 7941 4475
40 3640 6268 4913
41 3677 5973 4611
42 3933 6046 4755
43 4227 6000 4664
44 5247 5686 5214
45 5193 6069 5133
46 7136 5461 5471
47 7391 5106 6479
48 7898 4596 7520
49 7427 4496 7491
50 8392 4273 8545
51 7511 4135 7123
52 7412 4366 7105
53 6512 4924 8455
54 6145 5320 8772
55 5936 5894 9192
56 5361 5100 10500
57 4709 4261 11253
58 5801 3885 13060
59 5804 4086 12709
60 6201 3771 12173
61 6045 2931 10798
62 6135 2746 8500
63 5747 2687 6424
64 6905 2688 4621
65 7256 2683 3484
66 7178 2651 3267
67 6683 2142 3006
68 6312 2183 2667
69 6221 2132 2580
70 5428 2034 2624
71 5474 1812 2606
72 5295 1883 2622
73 6346 2042 2730
74 5538 2030 2607
75 6201 2095 2506
76 5686 2021 2530
77 5520 2102 2566
78 5666 2072 2551
79 4642 1780 2628
80 4988 1704 2487
81 5567 1752 2517
82 4651 1732 2473
83 4237 1703 2317
84 4839 1766 2339
85 4710 1558 2340
86 4456 1688 2299
87 4021 1681 2326
88 4176 1692 2231
89 3706 1685 2070
90 4048 1753 2038
91 4005 1832 1993
92 3903 1729 1937
93 3710 1787 1868
94 3863 1709 1924
95 3025 1769 1762
96 2833 1777 1698
97 2655 1703 1671
98 2317 1723 1531
99 2587 1774 1523
100 2687 1747 1536
101 2656 1764 1475
102 2552 1843 1575
103 2640 1801 1489
104 2170 1741 1490
105 1962 1674 1515
106 1747 1716 1484
107 2001 1598 1372
108 1990 1677 1477
109 1909 1732 1363
110 1932 1652 1413
111 1668 1534 1413
112 1735 1481 1422
113 1816 1403 1423
114 1795 1365 1430
115 1685 1373 1433
116 1553 1348 1442
117 1598 1263 1318
118 1687 1121 1437
119 1446 1148 1321
120 1578 1078 1322
121 1473 1021 1215
122 1297 1025 1154
123 1416 985 1232
124 1399 938 1145
125 1186 978 1182
126 1299 872 1187
127 1417 859 1044
128 1453 893 1020
129 1333 866 1034
130 1316 924 962
131 1208 841 884
132 1240 859 810
133 1115 879 800
134 1228 800 830
135 1168 775 710
136 1088 853 669
137 1141 843 691
138 1123 806 679
139 1014 807 655
140 1063 816 658
141 1035 782 626
142 882 847 608
143 970 871 522
144 988 881 575
145 873 814 507
146 902 842 528
147 880 755 486
148 914 799 516
149 804 794 510
150 780 842 469
151 802 845 441
152 897 907 466
153 847 946 475
154 844 847 434
155 828 921 417
156 881 855 376
157 847 826 390
158 840 816 384
159 811 773 415
160 724 754 408
161 759 773 411
162 762 738 422
163 741 746 415
164 727 669 429
165 696 709 410
166 705 699 442
167 692 657 399
168 608 661 378
169 699 623 446
170 631 628 435
171 683 623 423
172 679 604 466
173 624 571 447
174 643 606 494
175 631 574 455
176 623 581 526
177 545 577 483
178 600 532 477
179 566 499 462
180 591 498 473
181 543 508 495
182 587 505 486
183 562 516 477
184 595 551 496
185 554 487 496
186 558 509 519
187 509 527 506
188 618 534 481
189 636 504 513
190 609 509 468
191 552 526 495
192 591 524 514
193 580 545 516
194 673 543 505
195 714 514 524
196 696 527 556
197 744 519 557
198 801 560 536
199 798 563 541
200 781 520 533
201 755 504 534
202 774 600 540
203 752 531 512
204 789 591 582
205 729 535 589
206 710 561 541
207 698 570 635
208 704 592 571
209 629 587 600
210 665 573 594
211 666 569 535
212 643 563 543
213 619 540 537
214 631 558 486
215 726 494 448
216 636 526 432
217 681 510 497
218 650 485 543
219 687 506 516
220 697 505 532
221 710 441 516
222 673 445 417
223 735 436 460
224 758 482 422
225 833 510 452
226 822 511 453
227 954 518 409
228 970 550 370
229 1091 548 460
230 1096 604 449
231 1330 588 470
232 1431 673 398
233 1566 714 415
234 1721 746 416
235 1940 831 392
236 2120 887 418
237 2342 977 430
238 2591 1039 402
239 2785 1123 436
240 3024 1288 380
241 3328 1263 412
242 3527 1409 490
243 3724 1511 356
244 3890 1662 593
245 3989 1766 407
246 4177 1924 573
247 4106 2039 528
248 4189 2172 691
249 4304 1978 922
250 4765 1777 1034
251 5019 1531 1154
252 5664 1391 612
253 6267 1573 2143
254 6661 2253 533
255 19470 8811 6340
