0 0 0 0
1 0 0 0
2 0 0 0
3 0 0 0
4 0 0 0
5 0 0 0
6 0 0 0
7 0 0 0
8 0 0 0
9 0 0 0
10 0 0 0
11 0 0 0
12 0 0 0
13 0 0 0
14 0 0 0
15 0 0 0
16 0 0 0
17 0 0 0
18 0 0 0
19 0 0 0
20 0 0 0
21 0 0 0
22 0 0 0
23 0 0 0
24 0 0 0
25 0 0 0
26 0 0 0
27 0 0 0
28 0 0 0
29 0 0 0
30 0 0 0
31 0 0 0
32 0 0 0
33 0 0 0
34 0 0 0
35 0 0 0
36 0 0 0
37 0 0 0
38 0 0 0
39 0 0 0
40 0 0 0
41 0 0 0
42 0 0 0
43 0 0 0
44 0 0 0
45 0 0 0
46 0 0 0
47 0 0 0
48 0 0 0
49 0 0 0
50 0 0 0
51 0 0 0
52 0 0 0
53 0 0 0
54 0 0 0
55 0 0 0
56 41 40988 33048
57 0 0 0
58 47 6339 8261
59 160 6428 8269
60 241 7160 9501
61 0 0 0
62 566 8089 11937
63 492 9399 14985
64 0 0 0
65 648 10267 15034
66 633 10569 14339
67 0 0 0
68 554 11345 11144
69 716 12646 8973
70 468 12823 6854
71 0 0 0
72 563 15585 5881
73 849 13603 5026
74 0 0 0
75 1008 14087 4282
76 1379 13163 3925
77 1614 11739 3782
78 0 0 0
79 1818 10189 3634
80 1835 10209 3745
81 0 0 0
82 2122 9406 3883
83 2934 7941 4475
84 0 0 0
85 3640 6268 4913
86 3677 5973 4611
87 3933 6046 4755
88 0 0 0
89 4227 6000 4664
90 5247 5686 5214
91 0 0 0
92 5193 6069 5133
93 7136 5461 5471
94 7391 5106 6479
95 0 0 0
96 7898 4596 7520
97 7427 4496 7491
98 0 0 0
99 8392 4273 8545
100 7511 4135 7123
101 0 0 0
102 7412 4366 7105
103 6512 4924 8455
104 6145 5320 8772
105 0 0 0
106 5936 5894 9192
107 5361 5100 10500
108 0 0 0
109 4709 4261 11253
110 5801 3885 13060
111 5804 4086 12709
112 0 0 0
113 6201 3771 12173
114 6045 2931 10798
115 0 0 0
116 6135 2746 8500
117 5747 2687 6424
118 0 0 0
119 6905 2688 4621
120 7256 2683 3484
121 7178 2651 3267
122 0 0 0
123 6683 2142 3006
124 6312 2183 2667
125 0 0 0
126 6221 2132 2580
127 5428 2034 2624
128 5474 1812 2606
129 0 0 0
130 5295 1883 2622
131 6346 2042 2730
132 0 0 0
133 5538 2030 2607
134 6201 2095 2506
135 0 0 0
136 5686 2021 2530
137 5520 2102 2566
138 5666 2072 2551
139 0 0 0
140 4642 1780 2628
141 4988 1704 2487
142 0 0 0
143 5567 1752 2517
144 4651 1732 2473
145 4237 1703 2317
146 0 0 0
147 4839 1766 2339
148 4710 1558 2340
149 0 0 0
150 4456 1688 2299
151 4021 1681 2326
152 0 0 0
153 4176 1692 2231
154 3706 1685 2070
155 4048 1753 2038
156 0 0 0
157 4005 1832 1993
158 3903 1729 1937
159 0 0 0
160 3710 1787 1868
161 3863 1709 1924
162 3025 1769 1762
163 0 0 0
164 2833 1777 1698
165 2655 1703 1671
166 0 0 0
167 2317 1723 1531
168 2587 1774 1523
169 0 0 0
170 2687 1747 1536
171 2656 1764 1475
172 2552 1843 1575
173 0 0 0
174 2640 1801 1489
175 2170 1741 1490
176 0 0 0
177 1962 1674 1515
178 1747 1716 1484
179 2001 1598 1372
180 0 0 0
181 1990 1677 1477
182 1909 1732 1363
183 0 0 0
184 1932 1652 1413
185 1668 1534 1413
186 0 0 0
187 1735 1481 1422
188 1816 1403 1423
189 1795 1365 1430
190 0 0 0
191 1685 1373 1433
192 1553 1348 1442
193 0 0 0
194 1598 1263 1318
195 1687 1121 1437
196 1446 1148 1321
197 0 0 0
198 1578 1078 1322
199 1473 1021 1215
200 0 0 0
201 1297 1025 1154
202 1416 985 1232
203 0 0 0
204 1399 938 1145
205 1186 978 1182
206 1299 872 1187
207 0 0 0
208 1417 859 1044
209 1453 893 1020
210 0 0 0
211 1333 866 1034
212 1316 924 962
213 1208 841 884
214 0 0 0
215 1240 859 810
216 1115 879 800
217 0 0 0
218 1228 800 830
219 1168 775 710
220 0 0 0
221 1088 853 669
222 1141 843 691
223 1123 806 679
224 0 0 0
225 1014 807 655
226 1063 816 658
227 0 0 0
228 1035 782 626
229 882 847 608
230 970 871 522
231 0 0 0
232 988 881 575
233 873 814 507
234 0 0 0
235 902 842 528
236 880 755 486
237 0 0 0
238 914 799 516
239 804 794 510
240 780 842 469
241 0 0 0
242 802 845 441
243 897 907 466
244 0 0 0
245 847 946 475
246 844 847 434
247 828 921 417
248 0 0 0
249 881 855 376
250 847 826 390
251 0 0 0
252 840 816 384
253 811 773 415
254 0 0 0
255 153043 81684 55635
