0 555 141 179
1 73 67 47
2 68 58 52
3 78 77 93
4 90 59 172
5 83 94 354
6 105 97 490
7 130 137 832
8 180 171 1317
9 215 313 1681
10 226 461 1974
11 339 652 2015
12 454 940 1865
13 731 1117 1677
14 836 1279 1631
15 1055 1522 1356
16 1295 1791 1091
17 1397 1660 898
18 1360 1632 759
19 1350 1600 688
20 1267 1500 582
21 1194 1303 485
22 1163 939 408
23 1069 769 368
24 1068 669 292
25 874 620 312
26 784 514 284
27 760 466 236
28 753 446 211
29 751 343 194
30 615 335 183
31 536 267 165
32 410 265 163
33 384 259 139
34 360 241 168
35 388 208 144
36 262 182 136
37 295 176 148
38 250 170 118
39 236 162 129
40 225 176 108
41 210 166 111
42 190 157 119
43 197 169 95
44 190 145 90
45 198 132 97
46 188 124 89
47 160 117 73
48 167 113 107
49 176 124 71
50 141 103 61
51 150 104 80
52 171 87 74
53 130 87 59
54 140 78 53
55 128 91 63
56 139 81 54
57 127 75 57
58 96 80 55
59 100 78 51
60 99 68 47
61 87 58 49
62 79 70 56
63 76 73 68
64 84 63 50
65 57 77 46
66 75 67 57
67 58 61 56
68 54 73 58
69 57 73 49
70 57 74 38
71 48 64 51
72 44 63 53
73 49 47 49
74 44 62 46
75 50 45 61
76 42 59 49
77 60 60 55
78 51 49 53
79 44 51 44
80 41 62 60
81 41 45 48
82 41 48 48
83 28 53 54
84 43 35 58
85 36 42 76
86 41 43 51
87 38 49 58
88 42 43 55
89 39 53 59
90 42 60 53
91 37 52 50
92 41 38 35
93 24 40 37
94 36 47 29
95 29 39 45
96 34 47 33
97 26 44 30
98 29 38 43
99 32 48 32
100 36 46 29
101 24 39 28
102 30 42 27
103 31 45 35
104 34 54 40
105 37 34 30
106 20 48 32
107 34 57 28
108 31 39 35
109 31 46 30
110 26 42 35
111 40 54 28
112 37 54 31
113 28 63 22
114 29 59 34
115 28 44 34
116 17 43 24
117 29 53 22
118 18 48 23
119 21 38 23
120 31 30 22
121 25 25 28
122 15 22 29
123 19 30 22
124 24 25 19
125 17 28 22
126 26 31 35
127 28 25 26
128 19 29 21
129 16 21 23
130 17 24 26
131 35 19 24
132 44 22 25
133 42 28 20
134 50 24 21
135 46 18 28
136 36 21 29
137 40 24 24
138 35 12 30
139 20 21 20
140 16 22 19
141 11 19 26
142 27 24 26
143 15 25 25
144 15 19 21
145 13 19 22
146 19 18 25
147 8 12 28
148 13 11 19
149 15 14 25
150 8 20 21
151 7 19 24
152 10 14 19
153 11 18 19
154 12 11 23
155 16 20 25
156 20 10 10
157 23 13 22
158 15 6 26
159 15 17 21
160 13 21 27
161 10 16 19
162 4 17 20
163 10 17 15
164 5 11 20
165 7 14 13
166 2 14 21
167 4 11 29
168 9 17 20
169 14 10 16
170 7 14 12
171 1 13 19
172 5 14 17
173 3 17 17
174 6 12 13
175 4 19 15
176 5 13 20
177 3 13 18
178 1 17 18
179 8 10 19
180 4 17 21
181 4 12 15
182 4 12 19
183 4 9 13
184 1 15 22
185 3 10 17
186 6 11 13
187 4 12 16
188 3 9 16
189 1 15 19
190 4 11 11
191 2 8 15
192 1 10 9
193 0 12 19
194 2 11 15
195 2 11 14
196 2 7 16
197 3 11 16
198 2 9 6
199 2 12 12
200 0 7 6
201 3 13 14
202 4 12 13
203 4 12 19
204 1 12 10
205 2 12 15
206 1 15 19
207 3 14 17
208 3 26 24
209 0 15 22
210 1 16 8
211 2 22 19
212 3 20 11
213 2 13 11
214 5 19 9
215 3 11 21
216 2 7 20
217 2 6 9
218 0 6 20
219 3 8 19
220 0 14 17
221 1 6 18
222 4 9 18
223 1 8 6
224 0 4 9
225 4 7 14
226 6 4 17
227 2 2 17
228 0 9 12
229 0 3 21
230 1 6 19
231 0 3 12
232 0 7 18
233 2 3 18
234 1 6 8
235 2 9 15
236 2 2 15
237 1 1 19
238 0 3 14
239 1 1 16
240 1 0 12
241 0 9 14
242 0 3 9
243 1 5 20
244 1 5 15
245 2 3 10
246 0 7 14
247 0 4 10
248 0 5 12
249 2 4 12
250 0 3 11
251 0 3 12
252 0 0 18
253 0 2 22
254 0 2 24
255 6 40 294
